area,latitude,longitude,year,outbreak
northwestern ontario,49.809661,-88.4811791,1937,yes
northwestern ontario,49.809661,-88.4811791,1938,yes
northwestern ontario,49.809661,-88.4811791,1939,yes
northwestern ontario,49.809661,-88.4811791,1940,yes
northwestern ontario,49.809661,-88.4811791,1941,yes
northwestern ontario,49.809661,-88.4811791,1942,yes
northwestern ontario,49.809661,-88.4811791,1943,yes
northwestern ontario,49.809661,-88.4811791,1944,yes
northwestern ontario,49.809661,-88.4811791,1945,yes
northwestern ontario,49.809661,-88.4811791,1946,yes
northwestern ontario,49.809661,-88.4811791,1947,yes
northwestern ontario,49.809661,-88.4811791,1948,yes
northwestern ontario,49.809661,-88.4811791,1949,yes
northwestern ontario,49.809661,-88.4811791,1950,yes
northwestern ontario,49.809661,-88.4811791,1951,yes
northwestern ontario,49.809661,-88.4811791,1952,yes
northwestern ontario,49.809661,-88.4811791,1953,yes
northwestern ontario,49.809661,-88.4811791,1954,yes
northwestern ontario,49.809661,-88.4811791,1955,yes
lake nipigon region,49.5998657,-87.9576817,1937,yes
lake nipigon region,49.5998657,-87.9576817,1938,yes
northwestern ontario,49.809661,-88.4811791,1943,yes
northwestern ontario,49.809661,-88.4811791,1944,yes
northwestern ontario,49.809661,-88.4811791,1945,yes
northwestern ontario,49.809661,-88.4811791,1946,yes
northwestern ontario,49.809661,-88.4811791,1947,yes
northwestern ontario,49.809661,-88.4811791,1948,yes
northwestern ontario,49.809661,-88.4811791,1949,yes
northwestern ontario,49.809661,-88.4811791,1950,yes
northwestern ontario,49.809661,-88.4811791,1951,yes
northwestern ontario,49.809661,-88.4811791,1952,yes
northwestern ontario,49.809661,-88.4811791,1953,yes
northwestern ontario,49.809661,-88.4811791,1954,yes
northwestern ontario,49.809661,-88.4811791,1955,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1943,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1944,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1945,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1946,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1947,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1948,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1948,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1949,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1950,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1951,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1952,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1953,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1954,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1955,yes
lake nipigon,49.5998657,-87.9576817,1937,yes
lake nipigon,49.5998657,-87.9576817,1938,yes
