year,area,latitude,longitude,outbreak,file_name,study
1948,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1949,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1950,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1951,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1952,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1953,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1954,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1955,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1956,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1957,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1958,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1959,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1960,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1961,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1962,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1963,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1964,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1965,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1966,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1967,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1968,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1969,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1970,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1971,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1972,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1973,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1974,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1975,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1976,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1977,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1978,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1979,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1980,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1981,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1982,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1983,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1984,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1985,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1986,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1987,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1988,southern quebec,45.5031824,-73.5698065,1,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1989,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1990,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1991,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1992,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1993,southern quebec,45.5031824,-73.5698065,0,outbreak_data_Berguet et al. 2021 spatiotemp dyn 20th cent sbw.csv,9
1930,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1931,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1932,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1933,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1934,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1935,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1936,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1937,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1938,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1939,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1940,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1941,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1942,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1943,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1944,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1945,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1946,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1947,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1948,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1949,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1950,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1951,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1952,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1953,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1954,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1955,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1956,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1957,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1958,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1959,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1960,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1961,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1962,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1963,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1964,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1965,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1966,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1967,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1968,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1969,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1970,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1971,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1972,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1973,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1974,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1975,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1976,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1977,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1978,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1979,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1980,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1981,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1982,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1983,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1984,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1985,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1986,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1987,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1988,northern portion,60.721571,-135.054932,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1989,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1990,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1991,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1992,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1993,northern portion,60.721571,-135.054932,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1900,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1901,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1902,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1903,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1904,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1905,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1906,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1907,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1908,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1909,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1910,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1911,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1912,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1913,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1914,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1915,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1916,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1917,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1918,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1919,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1920,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1921,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1922,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1923,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1924,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1925,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1926,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1927,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1928,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1929,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1930,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1931,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1932,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1933,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1934,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1935,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1936,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1937,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1938,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1939,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1940,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1941,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1942,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1943,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1944,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1945,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1946,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1947,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1948,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1949,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1950,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1951,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1952,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1953,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1954,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1955,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1956,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1957,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1958,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1959,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1960,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1961,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1962,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1963,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1964,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1965,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1966,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1967,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1968,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1969,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1970,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1971,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1972,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1973,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1974,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1975,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1976,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1977,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1978,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1979,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1980,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1981,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1982,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1983,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1984,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1985,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1986,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1987,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1988,quebec,46.8137431,-71.2084061,1,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1989,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
1990,quebec,46.8137431,-71.2084061,0,outbreak_data_Navarro et al. 2018 space time SBW.csv,4
