area,latitude,longitude,year,outbreak
lake nipigon region,49.5998657,-87.9576817,1937,yes
lake nipigon region,49.5998657,-87.9576817,1938,yes
lac seul area,50.640752,-93.236847,1862,yes
lac seul area,50.640752,-93.236847,1863,yes
lac seul area,50.640752,-93.236847,1864,yes
lac seul area,50.640752,-93.236847,1865,yes
lac seul area,50.640752,-93.236847,1866,yes
lac seul area,50.640752,-93.236847,1867,yes
lac seul area,50.640752,-93.236847,1868,yes
lac seul area,50.640752,-93.236847,1869,yes
lac seul area,50.640752,-93.236847,1870,yes
lac seul area,50.640752,-93.236847,1871,yes
lac seul area,50.640752,-93.236847,1872,yes
locations near fort frances kenora and port arthur,48.6114425,-93.3967615,1938,yes
locations near fort frances kenora and port arthur,48.6114425,-93.3967615,1939,yes
locations near fort frances kenora and port arthur,48.6114425,-93.3967615,1940,yes
western forest region of ontario,49.809661,-88.4811791,1953,yes
western forest region of ontario,49.809661,-88.4811791,1954,yes
northwestern ontario,49.809661,-88.4811791,1943,yes
northwestern ontario,49.809661,-88.4811791,1944,yes
northwestern ontario,49.809661,-88.4811791,1945,yes
northwestern ontario,49.809661,-88.4811791,1946,yes
northwestern ontario,49.809661,-88.4811791,1947,yes
northwestern ontario,49.809661,-88.4811791,1948,yes
northwestern ontario,49.809661,-88.4811791,1949,yes
northwestern ontario,49.809661,-88.4811791,1950,yes
northwestern ontario,49.809661,-88.4811791,1951,yes
northwestern ontario,49.809661,-88.4811791,1952,yes
northwestern ontario,49.809661,-88.4811791,1953,yes
northwestern ontario,49.809661,-88.4811791,1954,yes
northwestern ontario,49.809661,-88.4811791,1955,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1943,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1944,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1945,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1946,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1947,yes
port arthur and areas to the east and north,29.8988618,-93.9288723,1948,yes
sibley peninsula,48.9425393,-88.2592117,1947,yes
sibley peninsula,48.9425393,-88.2592117,1948,yes
sibley peninsula,48.9425393,-88.2592117,1949,yes
sibley peninsula,48.9425393,-88.2592117,1950,yes
sibley peninsula,48.9425393,-88.2592117,1951,yes
sibley peninsula,48.9425393,-88.2592117,1952,yes
sibley peninsula,48.9425393,-88.2592117,1953,yes
sibley peninsula,48.9425393,-88.2592117,1954,yes
sibley peninsula,48.9425393,-88.2592117,1955,yes
lake nipigon area,49.5998657,-87.9576817,1949,yes
lake nipigon area,49.5998657,-87.9576817,1950,yes
lake nipigon area,49.5998657,-87.9576817,1951,yes
lake nipigon area,49.5998657,-87.9576817,1952,yes
lake nipigon area,49.5998657,-87.9576817,1953,yes
lake nipigon area,49.5998657,-87.9576817,1954,yes
lake nipigon area,49.5998657,-87.9576817,1955,yes
