area,latitude,longitude,year,outbreak
lake nipigon,49.5998657,-87.9576817,1937,yes
lake nipigon,49.5998657,-87.9576817,1938,yes
lac seul,50.640752,-93.236847,1925,yes
lac seul,50.640752,-93.236847,1926,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1943,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1944,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1945,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1946,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1947,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1948,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1949,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1950,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1951,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1952,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1953,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1954,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1955,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1943,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1944,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1945,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1946,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1947,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1948,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1949,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1950,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1951,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1952,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1953,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1954,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1955,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1943,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1944,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1945,yes
peninsula north of italian bay on lost lake midway between sioux lookout and hudson ontario and lake nipigon - geraldton region,49.7188752,-86.9493168,1946,yes
