area,latitude,longitude,year,outbreak
lac seul region,50.640752,-93.236847,1939,yes
lake nipigon - geraldton region,49.7188752,-86.9493168,1943,yes
northwestern ontario,49.809661,-88.4811791,1944,yes
lake nipigon area,49.5998657,-87.9576817,1944,yes
geraldton,49.7188752,-86.9493168,1944,yes
sioux lookout forest district,50.11345465,-92.19624322619077,1945,yes
port arthur district,29.8988618,-93.9288723,1946,yes
sibley peninsula,49.809661,-88.4811791,1947,yes
sibley and black bay peninsulas,46.7729322,-92.1251218,1948,yes
lake nipigon infestation,49.5998657,-87.9576817,1949,no
sibley peninsula,49.809661,-88.4811791,1952,yes
