area,latitude,longitude,year,outbreak
eastern canadian boreal forests,48.390458,-77.242813,1905,yes
eastern canadian boreal forests,48.390458,-77.242813,1906,yes
eastern canadian boreal forests,48.390458,-77.242813,1907,yes
eastern canadian boreal forests,48.390458,-77.242813,1908,yes
eastern canadian boreal forests,48.390458,-77.242813,1909,yes
eastern canadian boreal forests,48.390458,-77.242813,1910,yes
eastern canadian boreal forests,48.390458,-77.242813,1911,yes
eastern canadian boreal forests,48.390458,-77.242813,1912,yes
eastern canadian boreal forests,48.390458,-77.242813,1913,yes
eastern canadian boreal forests,48.390458,-77.242813,1914,yes
eastern canadian boreal forests,48.390458,-77.242813,1915,yes
eastern canadian boreal forests,48.390458,-77.242813,1916,yes
eastern canadian boreal forests,48.390458,-77.242813,1917,yes
eastern canadian boreal forests,48.390458,-77.242813,1918,yes
eastern canadian boreal forests,48.390458,-77.242813,1919,yes
eastern canadian boreal forests,48.390458,-77.242813,1920,yes
eastern canadian boreal forests,48.390458,-77.242813,1921,yes
eastern canadian boreal forests,48.390458,-77.242813,1922,yes
eastern canadian boreal forests,48.390458,-77.242813,1923,yes
eastern canadian boreal forests,48.390458,-77.242813,1924,yes
eastern canadian boreal forests,48.390458,-77.242813,1925,yes
eastern canadian boreal forests,48.390458,-77.242813,1926,yes
eastern canadian boreal forests,48.390458,-77.242813,1927,yes
eastern canadian boreal forests,48.390458,-77.242813,1928,yes
eastern canadian boreal forests,48.390458,-77.242813,1929,yes
eastern canadian boreal forests,48.390458,-77.242813,1930,yes
eastern canadian boreal forests,48.390458,-77.242813,1935,yes
eastern canadian boreal forests,48.390458,-77.242813,1936,yes
eastern canadian boreal forests,48.390458,-77.242813,1937,yes
eastern canadian boreal forests,48.390458,-77.242813,1938,yes
eastern canadian boreal forests,48.390458,-77.242813,1939,yes
eastern canadian boreal forests,48.390458,-77.242813,1940,yes
eastern canadian boreal forests,48.390458,-77.242813,1941,yes
eastern canadian boreal forests,48.390458,-77.242813,1942,yes
eastern canadian boreal forests,48.390458,-77.242813,1943,yes
eastern canadian boreal forests,48.390458,-77.242813,1944,yes
eastern canadian boreal forests,48.390458,-77.242813,1945,yes
eastern canadian boreal forests,48.390458,-77.242813,1946,yes
eastern canadian boreal forests,48.390458,-77.242813,1947,yes
eastern canadian boreal forests,48.390458,-77.242813,1948,yes
eastern canadian boreal forests,48.390458,-77.242813,1949,yes
eastern canadian boreal forests,48.390458,-77.242813,1950,yes
eastern canadian boreal forests,48.390458,-77.242813,1951,yes
eastern canadian boreal forests,48.390458,-77.242813,1952,yes
eastern canadian boreal forests,48.390458,-77.242813,1953,yes
eastern canadian boreal forests,48.390458,-77.242813,1954,yes
eastern canadian boreal forests,48.390458,-77.242813,1955,yes
eastern canadian boreal forests,48.390458,-77.242813,1956,yes
eastern canadian boreal forests,48.390458,-77.242813,1957,yes
eastern canadian boreal forests,48.390458,-77.242813,1958,yes
eastern canadian boreal forests,48.390458,-77.242813,1959,yes
eastern canadian boreal forests,48.390458,-77.242813,1960,yes
eastern canadian boreal forests,48.390458,-77.242813,1961,yes
eastern canadian boreal forests,48.390458,-77.242813,1962,yes
eastern canadian boreal forests,48.390458,-77.242813,1963,yes
eastern canadian boreal forests,48.390458,-77.242813,1964,yes
eastern canadian boreal forests,48.390458,-77.242813,1965,yes
eastern canadian boreal forests,48.390458,-77.242813,1968,yes
eastern canadian boreal forests,48.390458,-77.242813,1969,yes
eastern canadian boreal forests,48.390458,-77.242813,1970,yes
eastern canadian boreal forests,48.390458,-77.242813,1971,yes
eastern canadian boreal forests,48.390458,-77.242813,1972,yes
eastern canadian boreal forests,48.390458,-77.242813,1973,yes
eastern canadian boreal forests,48.390458,-77.242813,1974,yes
eastern canadian boreal forests,48.390458,-77.242813,1975,yes
eastern canadian boreal forests,48.390458,-77.242813,1976,yes
eastern canadian boreal forests,48.390458,-77.242813,1977,yes
eastern canadian boreal forests,48.390458,-77.242813,1978,yes
eastern canadian boreal forests,48.390458,-77.242813,1979,yes
eastern canadian boreal forests,48.390458,-77.242813,1980,yes
eastern canadian boreal forests,48.390458,-77.242813,1981,yes
eastern canadian boreal forests,48.390458,-77.242813,1982,yes
eastern canadian boreal forests,48.390458,-77.242813,1983,yes
eastern canadian boreal forests,48.390458,-77.242813,1984,yes
eastern canadian boreal forests,48.390458,-77.242813,1985,yes
eastern canadian boreal forests,48.390458,-77.242813,1986,yes
eastern canadian boreal forests,48.390458,-77.242813,1987,yes
eastern canadian boreal forests,48.390458,-77.242813,1988,yes
eastern canadian forests,45.94845575,-66.6530224218406,1905,yes
eastern canadian forests,45.94845575,-66.6530224218406,1906,yes
eastern canadian forests,45.94845575,-66.6530224218406,1907,yes
eastern canadian forests,45.94845575,-66.6530224218406,1908,yes
eastern canadian forests,45.94845575,-66.6530224218406,1909,yes
eastern canadian forests,45.94845575,-66.6530224218406,1910,yes
eastern canadian forests,45.94845575,-66.6530224218406,1911,yes
eastern canadian forests,45.94845575,-66.6530224218406,1912,yes
eastern canadian forests,45.94845575,-66.6530224218406,1913,yes
eastern canadian forests,45.94845575,-66.6530224218406,1914,yes
eastern canadian forests,45.94845575,-66.6530224218406,1915,yes
eastern canadian forests,45.94845575,-66.6530224218406,1916,yes
eastern canadian forests,45.94845575,-66.6530224218406,1917,yes
eastern canadian forests,45.94845575,-66.6530224218406,1918,yes
eastern canadian forests,45.94845575,-66.6530224218406,1919,yes
eastern canadian forests,45.94845575,-66.6530224218406,1920,yes
eastern canadian forests,45.94845575,-66.6530224218406,1921,yes
eastern canadian forests,45.94845575,-66.6530224218406,1922,yes
eastern canadian forests,45.94845575,-66.6530224218406,1923,yes
eastern canadian forests,45.94845575,-66.6530224218406,1924,yes
eastern canadian forests,45.94845575,-66.6530224218406,1925,yes
eastern canadian forests,45.94845575,-66.6530224218406,1926,yes
eastern canadian forests,45.94845575,-66.6530224218406,1927,yes
eastern canadian forests,45.94845575,-66.6530224218406,1928,yes
