year,area,latitude,longitude,outbreak,file_name,study
1951,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1952,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1953,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1954,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1955,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1956,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1957,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1958,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1959,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1960,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1961,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1962,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1963,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1964,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1965,ontario,45.4208777,-75.6901106,2,Elliot 1960.pdf,5
1966,ontario,45.4208777,-75.6901106,0,Elliot 1960.pdf,5
1904,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1905,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1905,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1906,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1906,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1907,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1907,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1908,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1908,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1909,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1909,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1910,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1910,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1911,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1911,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1912,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1912,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1913,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1913,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1914,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1914,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1915,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1915,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1916,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1916,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1917,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1917,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1918,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1918,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1919,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1919,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1920,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1920,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1921,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1921,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1922,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1922,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1923,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1923,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1924,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1924,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1925,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1925,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1926,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1926,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1927,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1927,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1928,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1928,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1929,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1929,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1930,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1930,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1931,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1932,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1933,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1934,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1935,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1935,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1936,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1936,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1937,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1937,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1938,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1938,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1939,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1939,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1940,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1940,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1941,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1941,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1942,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1942,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1943,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1943,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1944,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1944,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1945,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1945,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1946,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1946,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1947,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1947,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1948,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1948,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1949,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1949,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1950,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1950,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1951,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1951,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1952,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1952,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1953,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1953,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1954,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1954,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1955,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1955,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1956,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1956,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1957,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1957,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1958,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1958,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1959,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1959,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1960,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1960,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1961,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1961,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1962,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1962,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1963,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1963,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1964,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1964,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1965,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1965,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1966,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1967,quebec,46.8137431,-71.2084061,0,Elliot 1960.pdf,5
1968,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1968,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1969,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1969,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1970,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1970,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1971,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1971,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1972,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1972,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1973,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1973,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1974,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1974,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1975,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1975,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1976,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1976,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1977,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1977,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
1977,quebec,46.8137431,-71.2084061,1,Elliot 1960.pdf,5
