area,latitude,longitude,year,outbreak
new brunswick canada,45.94845575,-66.6530224218406,1952,yes
new brunswick canada,45.94845575,-66.6530224218406,1953,yes
new brunswick canada,45.94845575,-66.6530224218406,1954,yes
new brunswick canada,45.94845575,-66.6530224218406,1955,yes
new brunswick canada,45.94845575,-66.6530224218406,1956,yes
new brunswick canada,45.94845575,-66.6530224218406,1957,yes
new brunswick canada,45.94845575,-66.6530224218406,1958,yes
new brunswick canada,45.94845575,-66.6530224218406,1959,yes
new brunswick canada,45.94845575,-66.6530224218406,1960,yes
new brunswick canada,45.94845575,-66.6530224218406,1961,yes
new brunswick canada,45.94845575,-66.6530224218406,1962,yes
new brunswick canada,45.94845575,-66.6530224218406,1963,yes
new brunswick canada,45.94845575,-66.6530224218406,1964,yes
new brunswick canada,45.94845575,-66.6530224218406,1965,yes
new brunswick canada,45.94845575,-66.6530224218406,1966,yes
new brunswick canada,45.94845575,-66.6530224218406,1967,yes
new brunswick canada,45.94845575,-66.6530224218406,1968,yes
new brunswick canada,45.94845575,-66.6530224218406,1969,yes
new brunswick canada,45.94845575,-66.6530224218406,1970,yes
new brunswick canada,45.94845575,-66.6530224218406,1971,yes
new brunswick canada,45.94845575,-66.6530224218406,1972,yes
new brunswick canada,45.94845575,-66.6530224218406,1973,yes
new brunswick canada,45.94845575,-66.6530224218406,1974,yes
new brunswick canada,45.94845575,-66.6530224218406,1975,yes
new brunswick canada,45.94845575,-66.6530224218406,1976,yes
new brunswick canada,45.94845575,-66.6530224218406,1977,yes
new brunswick canada,45.94845575,-66.6530224218406,1978,yes
new brunswick canada,45.94845575,-66.6530224218406,1979,yes
new brunswick canada,45.94845575,-66.6530224218406,1980,yes
new brunswick canada,45.94845575,-66.6530224218406,1981,yes
new brunswick canada,45.94845575,-66.6530224218406,1982,yes
new brunswick canada,45.94845575,-66.6530224218406,1983,yes
new brunswick canada,45.94845575,-66.6530224218406,1984,yes
new brunswick canada,45.94845575,-66.6530224218406,1985,yes
new brunswick canada,45.94845575,-66.6530224218406,1986,yes
new brunswick canada,45.94845575,-66.6530224218406,1987,yes
new brunswick canada,45.94845575,-66.6530224218406,1988,yes
new brunswick canada,45.94845575,-66.6530224218406,1989,yes
new brunswick canada,45.94845575,-66.6530224218406,1990,yes
new brunswick canada,45.94845575,-66.6530224218406,1991,yes
new brunswick canada,45.94845575,-66.6530224218406,1992,yes
new brunswick canada,45.94845575,-66.6530224218406,1993,yes
new brunswick canada,45.94845575,-66.6530224218406,1994,yes
new brunswick canada,45.94845575,-66.6530224218406,1995,yes
new brunswick canada,45.94845575,-66.6530224218406,1996,yes
new brunswick canada,45.94845575,-66.6530224218406,1997,yes
new brunswick canada,45.94845575,-66.6530224218406,1998,yes
new brunswick canada,45.94845575,-66.6530224218406,1999,yes
new brunswick canada,45.94845575,-66.6530224218406,2000,yes
new brunswick canada,45.94845575,-66.6530224218406,2001,yes
